trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.5, 'e': 0.7156904398205974}",25,0,-68.58842401480588,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.7092492258622121}",25,0,-146.63287960708965,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.7028659828294521}",20,0,-81.00405600457515,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6965401889839871}",35,0,-59.50131167131908,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6902713272831311}",25,0,-82.80765918123073,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.684058885337583}",20,0,5.094886662047295,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6779023553695447}",25,0,-58.22227714109118,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6718012341712187}",20,0,-18.036414097910537,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6657550230636777}",20,13,-33.48590246234752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6597632278561046}",20,0,-131.84595371169158,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6538253588053997}",35,0,-123.32719203139301,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6479409305761511}",20,0,-7.8710437649073866,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6421094622009658}",20,7,-90.32610548118052,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.6363304770411571}",25,13,-48.31407198180368,"{0: 8, 1: 1, 2: 0, 3: 3, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6306035027477866}",20,0,-91.39449182549333,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6249280712230566}",35,0,-186.49984499228896,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.6193037185820491}",25,3,-56.50558907531438,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.6137299851148107}",20,0,-65.25007205462153,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.6082064152487774}",25,0,-155.31489160922536,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
56,False,"{'a': 0.5, 'e': 0.6027325575115384}",20,9,3.527298065960144,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5973079644939345}",25,0,-103.77652006595407,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5919321928134891}",20,0,-26.69285739559689,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5866048030781676}",25,0,-105.44970893062833,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5813253598504642}",20,0,-68.57179030239824,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.57609343161181}",25,19,-32.209705147073144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5709085907273037}",25,15,-3.8709394716684473,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.565770413410758}",30,3,-56.34155797206485,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.5606784796900611}",20,0,-1.6538126959210904,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
